Epoch,Average Loss (MSE)
1,0.18451357921207073
2,0.10960201173512149
3,0.09456269907795452
4,0.08407946353730092
5,0.07650142497904441
6,0.07183906119027668
7,0.06780167644593464
8,0.06460854987426647
9,0.06164576697401493
10,0.0590259849119867
11,0.057748868398994124
12,0.05578860016764456
13,0.0542343671416596
14,0.05229103101424976
15,0.05070813076278289
16,0.04904367141659672
17,0.048100335289186835
18,0.04673956412405697
19,0.045355574182732616
20,0.0435712489522214
21,0.04262028499580889
22,0.041734702430846614
23,0.041109807208717514
24,0.03993210393964795
25,0.03959857502095561
26,0.03851064543168474
27,0.03786286672254821
28,0.03715892707460179
29,0.03641634534786256
30,0.03625406538139139
