Model,Angle,Layer,CKA,Cosine,RSA
dinov2-small-imagenet1k-1-layer,10,0,0.9360026717185974,1,1
dinov2-small-imagenet1k-1-layer,10,1,0.977649450302124,1,1
dinov2-small-imagenet1k-1-layer,10,2,0.9732527732849121,1,1
dinov2-small-imagenet1k-1-layer,10,3,0.9825686812400818,1,1
dinov2-small-imagenet1k-1-layer,10,4,0.9738693833351135,1,1
dinov2-small-imagenet1k-1-layer,10,5,0.9682521224021912,1,1
dinov2-small-imagenet1k-1-layer,10,6,0.9591163992881775,1,1
dinov2-small-imagenet1k-1-layer,10,7,0.9650036692619324,1,1
dinov2-small-imagenet1k-1-layer,10,8,0.962280809879303,1,1
dinov2-small-imagenet1k-1-layer,10,9,0.9665339589118958,1,1
dinov2-small-imagenet1k-1-layer,10,10,0.9676899313926697,1,1
dinov2-small-imagenet1k-1-layer,10,11,0.9767076969146729,1,1
dinov2-small-imagenet1k-1-layer,20,0,0.9130787253379822,1,1
dinov2-small-imagenet1k-1-layer,20,1,0.952677845954895,1,1
dinov2-small-imagenet1k-1-layer,20,2,0.9483497142791748,1,1
dinov2-small-imagenet1k-1-layer,20,3,0.9670614004135132,1,1
dinov2-small-imagenet1k-1-layer,20,4,0.9535843133926392,1,1
dinov2-small-imagenet1k-1-layer,20,5,0.9468985795974731,1,1
dinov2-small-imagenet1k-1-layer,20,6,0.9316719174385071,1,1
dinov2-small-imagenet1k-1-layer,20,7,0.9383314251899719,1,1
dinov2-small-imagenet1k-1-layer,20,8,0.9306038022041321,1,1
dinov2-small-imagenet1k-1-layer,20,9,0.9403921961784363,1,1
dinov2-small-imagenet1k-1-layer,20,10,0.951913595199585,1,1
dinov2-small-imagenet1k-1-layer,20,11,0.9650114178657532,1,1
dinov2-small-imagenet1k-1-layer,30,0,0.8849605321884155,1,1
dinov2-small-imagenet1k-1-layer,30,1,0.9389322400093079,1,1
dinov2-small-imagenet1k-1-layer,30,2,0.934861421585083,1,1
dinov2-small-imagenet1k-1-layer,30,3,0.9575688242912292,1,1
dinov2-small-imagenet1k-1-layer,30,4,0.9426971673965454,1,1
dinov2-small-imagenet1k-1-layer,30,5,0.9364125728607178,1,1
dinov2-small-imagenet1k-1-layer,30,6,0.9227518439292908,1,1
dinov2-small-imagenet1k-1-layer,30,7,0.9224132895469666,1,1
dinov2-small-imagenet1k-1-layer,30,8,0.9164531230926514,1,1
dinov2-small-imagenet1k-1-layer,30,9,0.9266894459724426,1,1
dinov2-small-imagenet1k-1-layer,30,10,0.9391677975654602,1,1
dinov2-small-imagenet1k-1-layer,30,11,0.956145703792572,1,1
dinov2-small-imagenet1k-1-layer,40,0,0.9026039838790894,1,1
dinov2-small-imagenet1k-1-layer,40,1,0.9436023831367493,1,1
dinov2-small-imagenet1k-1-layer,40,2,0.9357010126113892,1,1
dinov2-small-imagenet1k-1-layer,40,3,0.9566999077796936,1,1
dinov2-small-imagenet1k-1-layer,40,4,0.935681939125061,1,1
dinov2-small-imagenet1k-1-layer,40,5,0.9201824069023132,1,1
dinov2-small-imagenet1k-1-layer,40,6,0.9025003910064697,1,1
dinov2-small-imagenet1k-1-layer,40,7,0.90745609998703,1,1
dinov2-small-imagenet1k-1-layer,40,8,0.9081966280937195,1,1
dinov2-small-imagenet1k-1-layer,40,9,0.9188401699066162,1,1
dinov2-small-imagenet1k-1-layer,40,10,0.9308925271034241,1,1
dinov2-small-imagenet1k-1-layer,40,11,0.9464780688285828,1,1
dinov2-small-imagenet1k-1-layer,50,0,0.8882818818092346,1,1
dinov2-small-imagenet1k-1-layer,50,1,0.9388258457183838,1,1
dinov2-small-imagenet1k-1-layer,50,2,0.9328165054321289,1,1
dinov2-small-imagenet1k-1-layer,50,3,0.9577093124389648,1,1
dinov2-small-imagenet1k-1-layer,50,4,0.935960590839386,1,1
dinov2-small-imagenet1k-1-layer,50,5,0.9133870601654053,1,1
dinov2-small-imagenet1k-1-layer,50,6,0.8978834748268127,1,1
dinov2-small-imagenet1k-1-layer,50,7,0.8975874185562134,1,1
dinov2-small-imagenet1k-1-layer,50,8,0.8997185230255127,1,1
dinov2-small-imagenet1k-1-layer,50,9,0.9101900458335876,1,1
dinov2-small-imagenet1k-1-layer,50,10,0.9135742783546448,1,1
dinov2-small-imagenet1k-1-layer,50,11,0.9345436692237854,1,1
dinov2-small-imagenet1k-1-layer,60,0,0.8946295976638794,1,1
dinov2-small-imagenet1k-1-layer,60,1,0.941084623336792,1,1
dinov2-small-imagenet1k-1-layer,60,2,0.9258869886398315,1,1
dinov2-small-imagenet1k-1-layer,60,3,0.953673779964447,1,1
dinov2-small-imagenet1k-1-layer,60,4,0.9361540675163269,1,1
dinov2-small-imagenet1k-1-layer,60,5,0.9207305312156677,1,1
dinov2-small-imagenet1k-1-layer,60,6,0.9049193263053894,1,1
dinov2-small-imagenet1k-1-layer,60,7,0.8933690786361694,1,1
dinov2-small-imagenet1k-1-layer,60,8,0.8880723118782043,1,1
dinov2-small-imagenet1k-1-layer,60,9,0.8963111042976379,1,1
dinov2-small-imagenet1k-1-layer,60,10,0.8951358795166016,1,1
dinov2-small-imagenet1k-1-layer,60,11,0.9246074557304382,1,1
dinov2-small-imagenet1k-1-layer,70,0,0.8987180590629578,1,1
dinov2-small-imagenet1k-1-layer,70,1,0.9526801705360413,1,1
dinov2-small-imagenet1k-1-layer,70,2,0.9438487887382507,1,1
dinov2-small-imagenet1k-1-layer,70,3,0.9629433751106262,1,1
dinov2-small-imagenet1k-1-layer,70,4,0.9455011487007141,1,1
dinov2-small-imagenet1k-1-layer,70,5,0.9313585758209229,1,1
dinov2-small-imagenet1k-1-layer,70,6,0.9111186265945435,1,1
dinov2-small-imagenet1k-1-layer,70,7,0.8820345997810364,1,1
dinov2-small-imagenet1k-1-layer,70,8,0.8444637656211853,1,1
dinov2-small-imagenet1k-1-layer,70,9,0.8520451188087463,1,1
dinov2-small-imagenet1k-1-layer,70,10,0.8533917665481567,1,1
dinov2-small-imagenet1k-1-layer,70,11,0.9041030406951904,1,1
dinov2-small-imagenet1k-1-layer,80,0,0.9410797953605652,1,1
dinov2-small-imagenet1k-1-layer,80,1,0.9725784659385681,1,1
