model_name	rotation	scale	accuracy
facebook/dinov2-small-imagenet1k-1-layer	0	0.5	0.9220
facebook/dinov2-small-imagenet1k-1-layer	0	1.0	0.9250
facebook/dinov2-small-imagenet1k-1-layer	0	2.0	0.9250
facebook/dinov2-small-imagenet1k-1-layer	10	0.5	0.9140
facebook/dinov2-small-imagenet1k-1-layer	10	1.0	0.9190
facebook/dinov2-small-imagenet1k-1-layer	10	2.0	0.9240
facebook/dinov2-small-imagenet1k-1-layer	20	0.5	0.9120
facebook/dinov2-small-imagenet1k-1-layer	20	1.0	0.9110
facebook/dinov2-small-imagenet1k-1-layer	20	2.0	0.9130
facebook/dinov2-small-imagenet1k-1-layer	30	0.5	0.9040
facebook/dinov2-small-imagenet1k-1-layer	30	1.0	0.9030
facebook/dinov2-small-imagenet1k-1-layer	30	2.0	0.9010
facebook/dinov2-small-imagenet1k-1-layer	40	0.5	0.8880
facebook/dinov2-small-imagenet1k-1-layer	40	1.0	0.8860
facebook/dinov2-small-imagenet1k-1-layer	40	2.0	0.8880
facebook/dinov2-small-imagenet1k-1-layer	50	0.5	0.8810
facebook/dinov2-small-imagenet1k-1-layer	50	1.0	0.8830
facebook/dinov2-small-imagenet1k-1-layer	50	2.0	0.8850
facebook/dinov2-small-imagenet1k-1-layer	60	0.5	0.8710
facebook/dinov2-small-imagenet1k-1-layer	60	1.0	0.8700
facebook/dinov2-small-imagenet1k-1-layer	60	2.0	0.8690
facebook/dinov2-small-imagenet1k-1-layer	70	0.5	0.8490
facebook/dinov2-small-imagenet1k-1-layer	70	1.0	0.8560
facebook/dinov2-small-imagenet1k-1-layer	70	2.0	0.8610
facebook/dinov2-small-imagenet1k-1-layer	80	0.5	0.8420
facebook/dinov2-small-imagenet1k-1-layer	80	1.0	0.8560
facebook/dinov2-small-imagenet1k-1-layer	80	2.0	0.8620
facebook/dinov2-small-imagenet1k-1-layer	90	0.5	0.8450
facebook/dinov2-small-imagenet1k-1-layer	90	1.0	0.8580
facebook/dinov2-small-imagenet1k-1-layer	90	2.0	0.8630
facebook/dinov2-small-imagenet1k-1-layer	100	0.5	0.8100
facebook/dinov2-small-imagenet1k-1-layer	100	1.0	0.8280
facebook/dinov2-small-imagenet1k-1-layer	100	2.0	0.8290
facebook/dinov2-small-imagenet1k-1-layer	110	0.5	0.7940
facebook/dinov2-small-imagenet1k-1-layer	110	1.0	0.7920
facebook/dinov2-small-imagenet1k-1-layer	110	2.0	0.7950
facebook/dinov2-small-imagenet1k-1-layer	120	0.5	0.8030
facebook/dinov2-small-imagenet1k-1-layer	120	1.0	0.8040
facebook/dinov2-small-imagenet1k-1-layer	120	2.0	0.8120
facebook/dinov2-small-imagenet1k-1-layer	130	0.5	0.7720
facebook/dinov2-small-imagenet1k-1-layer	130	1.0	0.7810
facebook/dinov2-small-imagenet1k-1-layer	130	2.0	0.7820
facebook/dinov2-small-imagenet1k-1-layer	140	0.5	0.7860
facebook/dinov2-small-imagenet1k-1-layer	140	1.0	0.8020
facebook/dinov2-small-imagenet1k-1-layer	140	2.0	0.7990
facebook/dinov2-small-imagenet1k-1-layer	150	0.5	0.7780
facebook/dinov2-small-imagenet1k-1-layer	150	1.0	0.7930
facebook/dinov2-small-imagenet1k-1-layer	150	2.0	0.7990
facebook/dinov2-small-imagenet1k-1-layer	160	0.5	0.7930
facebook/dinov2-small-imagenet1k-1-layer	160	1.0	0.8010
facebook/dinov2-small-imagenet1k-1-layer	160	2.0	0.7990
facebook/dinov2-small-imagenet1k-1-layer	170	0.5	0.7930
facebook/dinov2-small-imagenet1k-1-layer	170	1.0	0.8070
facebook/dinov2-small-imagenet1k-1-layer	170	2.0	0.8070
facebook/dinov2-small-imagenet1k-1-layer	180	0.5	0.8180
facebook/dinov2-small-imagenet1k-1-layer	180	1.0	0.8380
facebook/dinov2-small-imagenet1k-1-layer	180	2.0	0.8440
facebook/dinov2-small-imagenet1k-1-layer	190	0.5	0.7730
facebook/dinov2-small-imagenet1k-1-layer	190	1.0	0.8030
facebook/dinov2-small-imagenet1k-1-layer	190	2.0	0.7960
facebook/dinov2-small-imagenet1k-1-layer	200	0.5	0.7800
facebook/dinov2-small-imagenet1k-1-layer	200	1.0	0.8020
facebook/dinov2-small-imagenet1k-1-layer	200	2.0	0.7980
facebook/dinov2-small-imagenet1k-1-layer	210	0.5	0.7790
facebook/dinov2-small-imagenet1k-1-layer	210	1.0	0.7890
facebook/dinov2-small-imagenet1k-1-layer	210	2.0	0.7890
facebook/dinov2-small-imagenet1k-1-layer	220	0.5	0.7800
facebook/dinov2-small-imagenet1k-1-layer	220	1.0	0.7840
facebook/dinov2-small-imagenet1k-1-layer	220	2.0	0.7860
facebook/dinov2-small-imagenet1k-1-layer	230	0.5	0.7730
facebook/dinov2-small-imagenet1k-1-layer	230	1.0	0.7920
facebook/dinov2-small-imagenet1k-1-layer	230	2.0	0.7870
facebook/dinov2-small-imagenet1k-1-layer	240	0.5	0.7770
facebook/dinov2-small-imagenet1k-1-layer	240	1.0	0.8010
facebook/dinov2-small-imagenet1k-1-layer	240	2.0	0.8020
facebook/dinov2-small-imagenet1k-1-layer	250	0.5	0.7860
facebook/dinov2-small-imagenet1k-1-layer	250	1.0	0.7950
facebook/dinov2-small-imagenet1k-1-layer	250	2.0	0.7930
facebook/dinov2-small-imagenet1k-1-layer	260	0.5	0.7870
facebook/dinov2-small-imagenet1k-1-layer	260	1.0	0.8040
facebook/dinov2-small-imagenet1k-1-layer	260	2.0	0.8050
facebook/dinov2-small-imagenet1k-1-layer	270	0.5	0.8430
facebook/dinov2-small-imagenet1k-1-layer	270	1.0	0.8660
facebook/dinov2-small-imagenet1k-1-layer	270	2.0	0.8640
facebook/dinov2-small-imagenet1k-1-layer	280	0.5	0.8280
facebook/dinov2-small-imagenet1k-1-layer	280	1.0	0.8410
facebook/dinov2-small-imagenet1k-1-layer	280	2.0	0.8390
facebook/dinov2-small-imagenet1k-1-layer	290	0.5	0.8520
facebook/dinov2-small-imagenet1k-1-layer	290	1.0	0.8520
facebook/dinov2-small-imagenet1k-1-layer	290	2.0	0.8540
facebook/dinov2-small-imagenet1k-1-layer	300	0.5	0.8670
facebook/dinov2-small-imagenet1k-1-layer	300	1.0	0.8660
facebook/dinov2-small-imagenet1k-1-layer	300	2.0	0.8650
facebook/dinov2-small-imagenet1k-1-layer	310	0.5	0.8660
facebook/dinov2-small-imagenet1k-1-layer	310	1.0	0.8760
facebook/dinov2-small-imagenet1k-1-layer	310	2.0	0.8750
facebook/dinov2-small-imagenet1k-1-layer	320	0.5	0.8800
facebook/dinov2-small-imagenet1k-1-layer	320	1.0	0.8830
facebook/dinov2-small-imagenet1k-1-layer	320	2.0	0.8820
facebook/dinov2-small-imagenet1k-1-layer	330	0.5	0.8960
facebook/dinov2-small-imagenet1k-1-layer	330	1.0	0.9030
facebook/dinov2-small-imagenet1k-1-layer	330	2.0	0.9030
facebook/dinov2-small-imagenet1k-1-layer	340	0.5	0.9060
facebook/dinov2-small-imagenet1k-1-layer	340	1.0	0.9040
facebook/dinov2-small-imagenet1k-1-layer	340	2.0	0.9040
facebook/dinov2-small-imagenet1k-1-layer	350	0.5	0.9080
facebook/dinov2-small-imagenet1k-1-layer	350	1.0	0.9190
facebook/dinov2-small-imagenet1k-1-layer	350	2.0	0.9150
facebook/dinov2-small-imagenet1k-1-layer	360	0.5	0.9220
facebook/dinov2-small-imagenet1k-1-layer	360	1.0	0.9250
facebook/dinov2-small-imagenet1k-1-layer	360	2.0	0.9250
google/vit-base-patch16-224	0	0.5	0.9080
google/vit-base-patch16-224	0	1.0	0.9230
google/vit-base-patch16-224	0	2.0	0.9190
google/vit-base-patch16-224	10	0.5	0.8920
google/vit-base-patch16-224	10	1.0	0.9110
google/vit-base-patch16-224	10	2.0	0.9070
google/vit-base-patch16-224	20	0.5	0.8740
google/vit-base-patch16-224	20	1.0	0.8910
google/vit-base-patch16-224	20	2.0	0.8870
google/vit-base-patch16-224	30	0.5	0.8620
google/vit-base-patch16-224	30	1.0	0.8770
google/vit-base-patch16-224	30	2.0	0.8750
google/vit-base-patch16-224	40	0.5	0.8360
google/vit-base-patch16-224	40	1.0	0.8640
google/vit-base-patch16-224	40	2.0	0.8570
google/vit-base-patch16-224	50	0.5	0.8040
google/vit-base-patch16-224	50	1.0	0.8390
google/vit-base-patch16-224	50	2.0	0.8370
google/vit-base-patch16-224	60	0.5	0.7670
google/vit-base-patch16-224	60	1.0	0.8080
google/vit-base-patch16-224	60	2.0	0.8030
google/vit-base-patch16-224	70	0.5	0.7600
google/vit-base-patch16-224	70	1.0	0.7950
google/vit-base-patch16-224	70	2.0	0.7840
google/vit-base-patch16-224	80	0.5	0.7310
google/vit-base-patch16-224	80	1.0	0.7690
google/vit-base-patch16-224	80	2.0	0.7610
google/vit-base-patch16-224	90	0.5	0.7550
google/vit-base-patch16-224	90	1.0	0.7830
google/vit-base-patch16-224	90	2.0	0.7830
google/vit-base-patch16-224	100	0.5	0.6990
google/vit-base-patch16-224	100	1.0	0.7450
google/vit-base-patch16-224	100	2.0	0.7420
google/vit-base-patch16-224	110	0.5	0.6880
google/vit-base-patch16-224	110	1.0	0.7170
google/vit-base-patch16-224	110	2.0	0.7140
google/vit-base-patch16-224	120	0.5	0.6730
google/vit-base-patch16-224	120	1.0	0.7050
google/vit-base-patch16-224	120	2.0	0.6950
google/vit-base-patch16-224	130	0.5	0.6520
google/vit-base-patch16-224	130	1.0	0.7030
google/vit-base-patch16-224	130	2.0	0.6890
google/vit-base-patch16-224	140	0.5	0.6730
google/vit-base-patch16-224	140	1.0	0.7120
google/vit-base-patch16-224	140	2.0	0.7070
google/vit-base-patch16-224	150	0.5	0.6780
google/vit-base-patch16-224	150	1.0	0.7120
google/vit-base-patch16-224	150	2.0	0.7070
google/vit-base-patch16-224	160	0.5	0.6890
google/vit-base-patch16-224	160	1.0	0.7240
google/vit-base-patch16-224	160	2.0	0.7160
google/vit-base-patch16-224	170	0.5	0.7290
google/vit-base-patch16-224	170	1.0	0.7650
google/vit-base-patch16-224	170	2.0	0.7580
google/vit-base-patch16-224	180	0.5	0.7360
google/vit-base-patch16-224	180	1.0	0.7690
google/vit-base-patch16-224	180	2.0	0.7670
google/vit-base-patch16-224	190	0.5	0.7300
google/vit-base-patch16-224	190	1.0	0.7690
google/vit-base-patch16-224	190	2.0	0.7590
google/vit-base-patch16-224	200	0.5	0.7060
google/vit-base-patch16-224	200	1.0	0.7460
google/vit-base-patch16-224	200	2.0	0.7370
google/vit-base-patch16-224	210	0.5	0.6930
google/vit-base-patch16-224	210	1.0	0.7300
google/vit-base-patch16-224	210	2.0	0.7190
google/vit-base-patch16-224	220	0.5	0.6650
google/vit-base-patch16-224	220	1.0	0.7050
google/vit-base-patch16-224	220	2.0	0.7010
google/vit-base-patch16-224	230	0.5	0.6630
google/vit-base-patch16-224	230	1.0	0.7130
google/vit-base-patch16-224	230	2.0	0.7090
google/vit-base-patch16-224	240	0.5	0.6530
google/vit-base-patch16-224	240	1.0	0.6920
google/vit-base-patch16-224	240	2.0	0.6870
google/vit-base-patch16-224	250	0.5	0.6760
google/vit-base-patch16-224	250	1.0	0.7160
google/vit-base-patch16-224	250	2.0	0.7110
google/vit-base-patch16-224	260	0.5	0.6990
google/vit-base-patch16-224	260	1.0	0.7260
google/vit-base-patch16-224	260	2.0	0.7240
google/vit-base-patch16-224	270	0.5	0.7460
google/vit-base-patch16-224	270	1.0	0.7700
google/vit-base-patch16-224	270	2.0	0.7670
google/vit-base-patch16-224	280	0.5	0.7440
google/vit-base-patch16-224	280	1.0	0.7810
google/vit-base-patch16-224	280	2.0	0.7770
google/vit-base-patch16-224	290	0.5	0.7510
google/vit-base-patch16-224	290	1.0	0.7830
google/vit-base-patch16-224	290	2.0	0.7760
google/vit-base-patch16-224	300	0.5	0.7630
google/vit-base-patch16-224	300	1.0	0.7940
google/vit-base-patch16-224	300	2.0	0.7850
google/vit-base-patch16-224	310	0.5	0.7940
google/vit-base-patch16-224	310	1.0	0.8280
google/vit-base-patch16-224	310	2.0	0.8190
google/vit-base-patch16-224	320	0.5	0.8140
google/vit-base-patch16-224	320	1.0	0.8440
google/vit-base-patch16-224	320	2.0	0.8360
google/vit-base-patch16-224	330	0.5	0.8560
google/vit-base-patch16-224	330	1.0	0.8810
google/vit-base-patch16-224	330	2.0	0.8750
google/vit-base-patch16-224	340	0.5	0.8700
google/vit-base-patch16-224	340	1.0	0.8860
google/vit-base-patch16-224	340	2.0	0.8810
google/vit-base-patch16-224	350	0.5	0.8830
google/vit-base-patch16-224	350	1.0	0.9040
google/vit-base-patch16-224	350	2.0	0.9010
google/vit-base-patch16-224	360	0.5	0.9080
google/vit-base-patch16-224	360	1.0	0.9230
google/vit-base-patch16-224	360	2.0	0.9190

Generating evaluation plots...
Saved plot to results/accuracy_vs_rotation_scale_0_5.png
Saved plot to results/accuracy_vs_rotation_scale_1_0.png
Saved plot to results/accuracy_vs_rotation_scale_2_0.png
