model_name,rotation,scale,base_acc,feature_tta_acc,base_t_img,total_t_img,multiplier
facebook/dinov2-small-imagenet1k-1-layer,0,1.0,0.924,0.9,0.006044643486791756,0.025834619134897364,4.273969042400762
facebook/dinov2-small-imagenet1k-1-layer,30,1.0,0.903,0.883,0.00415559959289385,0.02501554884068901,6.0197206880725584
facebook/dinov2-small-imagenet1k-1-layer,60,1.0,0.87,0.893,0.004275525302102324,0.024811037861218212,5.803038482550518
facebook/dinov2-small-imagenet1k-1-layer,90,1.0,0.859,0.898,0.004615631823835429,0.02545018886163598,5.513912251451582
facebook/dinov2-small-imagenet1k-1-layer,120,1.0,0.804,0.89,0.0047204509028815666,0.02571948537993012,5.448523013814175
facebook/dinov2-small-imagenet1k-1-layer,150,1.0,0.793,0.881,0.00454387771798065,0.02508271844801493,5.52011299704649
facebook/dinov2-small-imagenet1k-1-layer,180,1.0,0.838,0.9,0.004399016594805289,0.024687685554672496,5.612091935235183
facebook/dinov2-small-imagenet1k-1-layer,210,1.0,0.789,0.882,0.004537166371126659,0.02482919068308547,5.472400315997215
facebook/dinov2-small-imagenet1k-1-layer,240,1.0,0.8,0.89,0.004667952059011441,0.02564220708416542,5.493245594642165
facebook/dinov2-small-imagenet1k-1-layer,270,1.0,0.867,0.898,0.004128545691026375,0.02467492403287906,5.976662456833502
facebook/dinov2-small-imagenet1k-1-layer,300,1.0,0.866,0.89,0.0043495759270736015,0.02508513823110843,5.767260682809998
facebook/dinov2-small-imagenet1k-1-layer,330,1.0,0.903,0.882,0.004191212721110787,0.024693984279292633,5.891847043437119
facebook/dinov2-small-imagenet1k-1-layer,360,1.0,0.924,0.9,0.0041703308208379895,0.024640502073685636,5.9085245589064215
google/vit-base-patch16-224,0,1.0,0.923,0.874,0.007548724198830314,0.034047922340920196,4.510420760397627
google/vit-base-patch16-224,30,1.0,0.877,0.862,0.007011280818958767,0.03351850389008178,4.780653457702975
google/vit-base-patch16-224,60,1.0,0.808,0.85,0.006841170042811427,0.03344229554565391,4.888388292700668
google/vit-base-patch16-224,90,1.0,0.783,0.866,0.00681987307005329,0.03312135364918504,4.856593855774831
google/vit-base-patch16-224,120,1.0,0.705,0.857,0.007094916348927655,0.033892162579868455,4.776964366181852
google/vit-base-patch16-224,150,1.0,0.712,0.857,0.007029738802288193,0.03394702659593895,4.829059450244315
google/vit-base-patch16-224,180,1.0,0.769,0.874,0.00700664557312848,0.03346491742116632,4.7761681494935635
google/vit-base-patch16-224,210,1.0,0.73,0.862,0.006895337486814242,0.03352885069587501,4.862539471054357
google/vit-base-patch16-224,240,1.0,0.692,0.85,0.006900329434021842,0.033356596344092396,4.834058527644901
google/vit-base-patch16-224,270,1.0,0.771,0.866,0.006835163807787467,0.03344333789579104,4.8928363439788
google/vit-base-patch16-224,300,1.0,0.795,0.857,0.007097613670805004,0.03378509435278829,4.760063863683979
google/vit-base-patch16-224,330,1.0,0.881,0.856,0.006844787417096086,0.033070050410111435,4.831421108493895
google/vit-base-patch16-224,360,1.0,0.923,0.874,0.0068631158369826155,0.0330010900660418,4.808470503763318
